Ticker,Date,Open,High,Low,Close,Volume
BID,28-02-2025,40950,40950,40700,40950,3051600
BID,27-02-2025,41200,41300,40900,40950,2552300
BID,26-02-2025,41200,41250,40950,41200,3020100
BID,25-02-2025,41150,41350,41000,41250,4348800
BID,24-02-2025,40900,41400,40700,41100,4168600
BID,21-02-2025,40850,41050,40650,40900,2988800
BID,20-02-2025,41000,41050,40650,40900,3398400
BID,19-02-2025,40500,40900,40400,40850,5452400
BID,18-02-2025,40100,40650,40050,40500,3320100
BID,17-02-2025,40650,40650,40150,40200,2273100
BID,14-02-2025,40350,40850,40150,40650,4557800
BID,13-02-2025,40000,40250,39900,40000,2430100
BID,12-02-2025,40350,40450,39900,40000,4336000
BID,11-02-2025,40500,40750,40100,40450,2873800
BID,10-02-2025,40500,41200,40100,40350,4596700
BID,07-02-2025,39800,40800,39800,40500,8054000
BID,06-02-2025,39650,40000,39600,39800,3976100
BID,05-02-2025,39900,39950,39550,39600,2370300
BID,04-02-2025,39500,40100,39150,39650,4270900
BID,03-02-2025,39700,39900,39100,39400,3550500
BID,24-01-2025,39900,40000,39750,40000,2333900
BID,23-01-2025,39500,40100,39450,39900,2925500
BID,22-01-2025,39800,39800,39450,39500,2020900
BID,21-01-2025,40050,40050,39500,39800,2139600
BID,20-01-2025,39450,40100,39400,39900,2854300
BID,17-01-2025,39200,39500,39050,39500,1572900
BID,16-01-2025,39200,39500,39050,39400,1628500
BID,15-01-2025,39200,39200,38600,39200,1485800
BID,14-01-2025,39200,39200,38900,39000,957600
BID,13-01-2025,39100,39350,38400,39300,2461400
BID,10-01-2025,39900,39900,39100,39100,3114500
BID,09-01-2025,39900,40050,39350,39950,3599100
BID,08-01-2025,40400,40400,39650,40350,3125200
BID,07-01-2025,39100,40500,39050,40400,10448400
BID,06-01-2025,38300,39150,38200,38800,4820800
BID,03-01-2025,38200,38600,38200,38200,3698500
BID,02-01-2025,38200,38650,37900,38200,3160500
BID,31-12-2024,38500,38750,37550,37550,3416900
BID,30-12-2024,39100,39150,38250,38250,4011800
BID,27-12-2024,39250,39500,39100,39150,2859500
BID,26-12-2024,38950,39350,38800,39000,3884200
BID,25-12-2024,38200,39800,38100,38650,5277300
BID,24-12-2024,38700,38850,38050,38100,3216000
BID,23-12-2024,38900,39000,38500,38600,2895400
BID,20-12-2024,38430,38595,38306,38390,2993400
BID,19-12-2024,38554,38600,38347,38388,2726000
BID,18-12-2024,38719,38843,38595,38719,1661100
BID,17-12-2024,38843,38967,38512,38512,2248800
BID,16-12-2024,38843,39050,38595,38636,3247200
BID,13-12-2024,38471,38678,38347,38347,1382900
BID,12-12-2024,38595,38967,38512,38512,1935300
BID,11-12-2024,38802,38843,38430,38512,1286600
BID,10-12-2024,38678,39132,38636,38636,1943300
BID,09-12-2024,38554,38843,38512,38595,1717700
BID,06-12-2024,38347,38802,38347,38512,2497200
BID,05-12-2024,37438,38678,37438,38017,2427400
BID,04-12-2024,38099,38140,37314,37314,2399100
BID,03-12-2024,38430,38430,38058,38058,1400100
BID,02-12-2024,38760,38926,38430,38430,1314100
BID,29-11-2024,38099,38636,37893,38636,1443200
BID,28-11-2024,38430,38471,38099,38100,1284700
BID,27-11-2024,38223,38388,38058,38306,1214900
BID,26-11-2024,37603,38223,37603,38223,1839300
BID,25-11-2024,37769,37851,37603,37645,1110400
BID,22-11-2024,37851,37851,37397,37769,1874700
BID,21-11-2024,37273,37727,37273,37479,1472400
BID,20-11-2024,36942,37893,36777,37190,2188800
BID,19-11-2024,37355,37355,36860,36860,1457400
BID,18-11-2024,36901,37686,36736,36736,1914300
BID,15-11-2024,37686,37686,36942,36942,2255800
BID,14-11-2024,38223,38223,37603,37603,1998500
BID,13-11-2024,38264,38430,37893,38140,1816400
BID,12-11-2024,38430,38719,38264,38264,1686200
BID,11-11-2024,39174,39256,38347,38430,2751300
BID,08-11-2024,39421,39587,38843,39174,2648700
BID,07-11-2024,40000,40000,39339,39339,1263600
BID,06-11-2024,39339,39793,39339,39711,1082600
BID,05-11-2024,39421,39587,39132,39174,1526000
BID,04-11-2024,39463,39835,39298,39421,1337100
BID,01-11-2024,39669,39752,39298,39463,1543202
BID,31-10-2024,39669,40041,39380,39463,1792200
BID,30-10-2024,39380,39835,39380,39421,1415800
BID,29-10-2024,39421,40041,39256,39298,2176400
BID,28-10-2024,39256,39463,39091,39256,2226200
BID,25-10-2024,39711,39917,39256,39256,1696500
BID,24-10-2024,39752,40372,39669,39669,1740200
BID,23-10-2024,40289,40289,39669,40000,2397200
BID,22-10-2024,41074,41074,40248,40289,3371900
BID,21-10-2024,41322,41488,41033,41033,2125200
BID,18-10-2024,41901,42149,41570,41570,3395116
BID,17-10-2024,41488,41570,40950,41570,2118918
BID,16-10-2024,41322,41736,41157,41198,1791000
BID,15-10-2024,40909,42149,40909,41322,6928429
BID,14-10-2024,40909,41116,40826,40826,1161900
BID,11-10-2024,41198,41198,40744,40826,1539824
BID,10-10-2024,41281,41281,40826,41116,2650441
BID,09-10-2024,40661,40992,40331,40868,2190961
BID,08-10-2024,40537,40785,40331,40413,2070134
BID,07-10-2024,40909,40909,40496,40537,1492500
BID,04-10-2024,40909,40992,40620,40661,2164800
BID,03-10-2024,41157,41983,40909,40909,3503800
BID,02-10-2024,41074,41488,40992,41157,1835200
BID,01-10-2024,41074,41901,41074,41074,2817700
BID,30-09-2024,41405,41488,40992,41074,2190627
BID,27-09-2024,41570,42727,41322,41405,3204000
BID,26-09-2024,41570,41983,41198,41322,4232630
