Ticker,Date,Open,High,Low,Close,Volume
CTG,28-02-2025,41300,41600,41000,41500,5529300
CTG,27-02-2025,41250,41550,40850,41500,6079700
CTG,26-02-2025,41800,41800,41100,41350,9430900
CTG,25-02-2025,41950,42100,41400,41850,5728900
CTG,24-02-2025,41500,41950,41350,41900,6764800
CTG,21-02-2025,40850,41500,40500,41500,7710600
CTG,20-02-2025,41050,41050,40450,40850,5265200
CTG,19-02-2025,40550,40950,40450,40500,6136000
CTG,18-02-2025,40150,41000,40050,40300,6539300
CTG,17-02-2025,40500,40650,40150,40150,5951900
CTG,14-02-2025,41000,41350,40500,40550,5515600
CTG,13-02-2025,40300,41300,40300,40850,6945200
CTG,12-02-2025,40700,40800,40400,40500,4835000
CTG,11-02-2025,40350,40900,40150,40700,7621400
CTG,10-02-2025,40800,41100,40050,40300,9535800
CTG,07-02-2025,39500,41200,39250,40800,14973700
CTG,06-02-2025,39400,39850,39200,39500,6527700
CTG,05-02-2025,39650,39700,39100,39350,6686000
CTG,04-02-2025,38250,39750,38050,39400,14538400
CTG,03-02-2025,38250,38600,37800,38050,8325900
CTG,24-01-2025,38100,38150,37750,38000,5047600
CTG,23-01-2025,37400,38200,37300,38100,7583800
CTG,22-01-2025,37600,37600,37250,37300,4497700
CTG,21-01-2025,37450,37800,37050,37300,5502600
CTG,20-01-2025,37250,37700,37150,37300,4400000
CTG,17-01-2025,36800,37200,36600,37200,3948300
CTG,16-01-2025,36850,37200,36400,36800,6641100
CTG,15-01-2025,37000,37100,36600,36750,4980700
CTG,14-01-2025,37450,37900,36900,36950,3716700
CTG,13-01-2025,37200,37700,36200,37700,9377500
CTG,10-01-2025,37400,38200,37200,37500,7501000
CTG,09-01-2025,37800,37900,37250,37400,4056700
CTG,08-01-2025,37400,37900,37250,37800,3664700
CTG,07-01-2025,37500,38000,37150,37450,6267400
CTG,06-01-2025,37250,37650,37050,37200,6045300
CTG,03-01-2025,37800,38000,37200,37200,10284500
CTG,02-01-2025,38000,38300,37600,38100,5742600
CTG,31-12-2024,38600,38700,37800,37800,5449700
CTG,30-12-2024,38500,38900,38350,38900,7210600
CTG,27-12-2024,38350,38800,38000,38800,9539300
CTG,26-12-2024,38400,38400,38000,38200,4847100
CTG,25-12-2024,36200,38700,36200,38200,25190700
CTG,24-12-2024,36100,36200,35900,36200,2831100
CTG,23-12-2024,36200,36300,36100,36250,3097200
CTG,20-12-2024,36000,36150,35700,36150,3418200
CTG,19-12-2024,35850,36200,35600,36200,6319500
CTG,18-12-2024,36200,36400,35800,36250,2933300
CTG,17-12-2024,36250,36350,36050,36250,3429900
CTG,16-12-2024,36350,36700,36200,36250,2866500
CTG,13-12-2024,36150,36500,36100,36350,4180300
CTG,12-12-2024,36400,36800,36200,36300,5010500
CTG,11-12-2024,36300,36600,36200,36350,4390000
CTG,10-12-2024,36450,36500,36100,36350,3293400
CTG,09-12-2024,36150,36500,36050,36450,4392500
CTG,06-12-2024,36500,36650,36250,36250,5625800
CTG,05-12-2024,35300,36500,35050,36400,10395100
CTG,04-12-2024,35600,35700,35300,35300,4137800
CTG,03-12-2024,35950,35950,35450,35900,5261300
CTG,02-12-2024,35900,36000,35700,35850,4468300
CTG,29-11-2024,35500,35850,35250,35750,5142400
CTG,28-11-2024,35300,35400,34950,35400,3289800
CTG,27-11-2024,35100,35300,34950,35150,2761100
CTG,26-11-2024,35000,35350,34900,35300,4538800
CTG,25-11-2024,34950,35100,34700,35100,3824500
CTG,22-11-2024,34900,35200,34700,35000,6181600
CTG,21-11-2024,34000,35000,33600,35000,7810800
CTG,20-11-2024,33050,34000,33050,34000,6494000
CTG,19-11-2024,33500,33600,33000,33350,5280700
CTG,18-11-2024,33100,33650,32700,33300,4072900
CTG,15-11-2024,33600,33600,32800,33100,8350400
CTG,14-11-2024,34300,34300,33600,33600,5270200
CTG,13-11-2024,34450,34500,33950,34350,4244200
CTG,12-11-2024,34800,34850,34200,34500,3342200
CTG,11-11-2024,35000,35000,33850,34950,16325500
CTG,08-11-2024,35700,36000,34800,35000,4916300
CTG,07-11-2024,35900,36150,35600,35600,3822400
CTG,06-11-2024,35200,35900,35100,35900,3543500
CTG,05-11-2024,35500,35700,35050,35050,4093100
CTG,04-11-2024,35550,35950,35350,35700,5247600
CTG,01-11-2024,35550,35950,35500,35600,7983200
CTG,31-10-2024,34900,35750,34800,35700,8400500
CTG,30-10-2024,34900,35000,34500,34750,2626400
CTG,29-10-2024,34700,34950,34700,34950,2890000
CTG,28-10-2024,34650,34800,34550,34700,2288100
CTG,25-10-2024,34750,34800,34500,34600,4448300
CTG,24-10-2024,35000,35150,34050,34850,6405900
CTG,23-10-2024,35000,35150,34750,35050,4488500
CTG,22-10-2024,35500,35650,34800,35000,9519000
CTG,21-10-2024,36100,36350,35500,35500,8242100
CTG,18-10-2024,36800,36900,36250,36250,7054400
CTG,17-10-2024,36500,36550,36050,36550,6200700
CTG,16-10-2024,36100,36450,35900,36300,3778300
CTG,15-10-2024,36250,36800,36100,36150,10587200
CTG,14-10-2024,36400,36450,36050,36050,4041500
CTG,11-10-2024,36250,36300,35800,36250,4217800
CTG,10-10-2024,36450,36650,36050,36150,6226000
CTG,09-10-2024,35800,36600,35700,36100,9143500
CTG,08-10-2024,35800,36150,35550,35750,6638700
CTG,07-10-2024,35900,35950,35500,35800,5298700
CTG,04-10-2024,36150,36150,35600,35600,8545600
CTG,03-10-2024,36000,36750,35900,36200,9111600
CTG,02-10-2024,36150,36450,35950,36000,11271900
CTG,01-10-2024,36950,37100,36350,36500,12315100
CTG,30-09-2024,36900,37200,36650,36950,4842500
CTG,27-09-2024,36450,37550,36450,37000,15617800
CTG,26-09-2024,36000,36450,35450,36400,22830200
CTG,25-09-2024,36500,36600,36000,36000,9797800
CTG,24-09-2024,35900,36200,35650,36050,5546400
CTG,23-09-2024,35950,36300,35650,35900,4440300
CTG,20-09-2024,36050,36650,35950,36000,13164300
CTG,19-09-2024,35750,36200,35600,36000,5835500
CTG,18-09-2024,34950,36300,34800,35700,17487600
CTG,17-09-2024,34550,34950,34350,34950,5230100
CTG,16-09-2024,34950,34950,34500,34650,5810800
CTG,13-09-2024,34800,35000,34650,34900,3439800
CTG,12-09-2024,35250,35250,34700,35000,4999600
CTG,11-09-2024,34950,35100,34450,34950,5494300
CTG,10-09-2024,35400,35550,34800,34950,7474100
CTG,09-09-2024,35200,35450,35000,35450,5375600
CTG,06-09-2024,34800,35500,34600,35500,9157300
CTG,05-09-2024,35200,35500,34600,35000,8473400
CTG,04-09-2024,34600,35300,34450,35300,10446800
CTG,30-08-2024,35000,35100,34650,35050,8124100
CTG,29-08-2024,34950,35350,34500,35000,12531200
CTG,28-08-2024,34900,34950,34500,34900,5938900
CTG,27-08-2024,34600,35000,34250,34850,11698100
CTG,26-08-2024,35000,35000,34400,34600,9584400
CTG,23-08-2024,34400,34950,34150,34950,9860800
CTG,22-08-2024,34350,35000,34300,34600,11485500
CTG,21-08-2024,33250,34200,33000,34200,27480100
CTG,20-08-2024,32650,33350,32600,33200,10766100
CTG,19-08-2024,32500,32700,32350,32650,5863100
CTG,16-08-2024,31850,32500,31800,32500,7856100
CTG,15-08-2024,31800,31950,31450,31850,4421800
CTG,14-08-2024,31850,32000,31600,31800,4668000
CTG,13-08-2024,31850,31850,31400,31850,3764400
CTG,12-08-2024,31550,31750,31200,31700,3052300
CTG,09-08-2024,30350,31500,30350,31500,7179900
CTG,08-08-2024,30200,30450,30050,30200,5155000
CTG,07-08-2024,30650,30650,30050,30200,3892500
CTG,06-08-2024,30500,30600,29950,30550,4871100
CTG,05-08-2024,30900,30950,30000,30150,10630500
CTG,02-08-2024,31050,31550,30250,31550,10408500
CTG,01-08-2024,32000,32450,31300,31450,8811100
CTG,31-07-2024,32000,32300,31800,32000,6542400
CTG,30-07-2024,32000,32100,31800,32000,4284300
CTG,29-07-2024,32150,32350,32100,32100,3120200
CTG,26-07-2024,31550,32150,31550,32050,3281100
CTG,25-07-2024,32000,32000,31400,31550,6106000
CTG,24-07-2024,32350,32500,31700,32200,10316300
CTG,23-07-2024,33700,33700,32050,32400,9825700
CTG,22-07-2024,33200,34100,33150,33650,15868100
CTG,19-07-2024,33250,33800,32750,33400,10147600
CTG,18-07-2024,33300,33450,32750,33450,8111000
CTG,17-07-2024,32700,33800,32550,33000,22598600
CTG,16-07-2024,32150,32850,32100,32500,6589100
CTG,15-07-2024,32050,32200,32000,32100,2451000
CTG,12-07-2024,32200,32300,31900,32000,3874000
CTG,11-07-2024,32500,32600,32200,32200,3867400
CTG,10-07-2024,32700,32850,32400,32400,5205400
CTG,09-07-2024,32600,32800,32400,32700,4731800
CTG,08-07-2024,32750,32750,32300,32600,3851700
CTG,05-07-2024,32350,32850,32100,32700,5590000
CTG,04-07-2024,32400,32500,32050,32300,2526600
CTG,03-07-2024,32350,32500,32050,32350,3316100
CTG,02-07-2024,32000,32350,31900,32300,5122200
CTG,01-07-2024,30850,32000,30850,32000,3924600
CTG,28-06-2024,31300,31450,31000,31000,4521600
CTG,27-06-2024,31300,31400,31150,31300,4084600
CTG,26-06-2024,31600,31650,31050,31300,6556300
CTG,25-06-2024,31900,31900,31450,31600,5413400
CTG,24-06-2024,32200,32350,31550,31650,8439100
CTG,21-06-2024,32400,32450,32150,32200,4903100
CTG,20-06-2024,32300,32550,32000,32200,7044100
CTG,19-06-2024,32400,32550,31950,32500,6704200
CTG,18-06-2024,32750,32850,32350,32350,7746400
CTG,17-06-2024,32800,32950,32300,32750,8417900
CTG,14-06-2024,33900,33950,32800,32800,10429800
CTG,13-06-2024,34000,34150,33500,33900,14006900
CTG,12-06-2024,33250,33650,32850,33500,7591300
CTG,11-06-2024,33950,33950,33150,33200,10714500
CTG,10-06-2024,32950,33950,32900,33500,13316000
CTG,07-06-2024,32800,32900,32650,32800,4307200
CTG,06-06-2024,32500,32700,32350,32600,7437100
CTG,05-06-2024,32900,32950,32400,32400,8383500
CTG,04-06-2024,32700,32950,32450,32800,8842900
CTG,03-06-2024,32250,32800,32050,32600,9928600
CTG,31-05-2024,31800,32200,31800,31900,6190100
CTG,30-05-2024,31350,32100,31350,31800,9617600
CTG,29-05-2024,32200,32200,31650,31650,15631900
CTG,28-05-2024,32450,32500,31700,32200,24685700
CTG,27-05-2024,32700,32700,32100,32400,8217500
CTG,24-05-2024,33100,33900,32300,32500,13921600
CTG,23-05-2024,32950,33250,32600,33250,5573500
CTG,22-05-2024,33850,33900,32700,33000,11642900
CTG,21-05-2024,33450,34100,33350,33650,6079100
CTG,20-05-2024,33300,33900,33050,33350,12148300
CTG,17-05-2024,33350,33400,32900,33100,5948500
CTG,16-05-2024,32800,33700,32550,33200,14193700
CTG,15-05-2024,32450,33000,32250,32350,7928800
CTG,14-05-2024,32400,32700,32250,32300,5643900
CTG,13-05-2024,32850,32850,32250,32300,7004000
CTG,10-05-2024,33150,33150,32550,32850,4656700
CTG,09-05-2024,32800,33400,32450,32900,7196700
CTG,08-05-2024,32650,33000,32350,32600,8398000
CTG,07-05-2024,33200,33250,32800,32800,4941700
CTG,06-05-2024,32600,33250,32350,33200,7627200
CTG,03-05-2024,32450,32850,32150,32400,6160500
CTG,02-05-2024,32800,32800,32000,32350,6361000
CTG,26-04-2024,32550,33150,32150,32800,8972900
CTG,25-04-2024,32850,33000,32250,33000,4863800
CTG,24-04-2024,32000,32950,31700,32950,9012800
CTG,23-04-2024,32250,32500,31150,31500,10689200
CTG,22-04-2024,32050,32400,31700,32300,7768100
CTG,19-04-2024,32100,32750,31250,31600,13040500
CTG,17-04-2024,34250,34250,32650,32700,19095700
CTG,16-04-2024,33900,34050,32800,34050,15414300
CTG,15-04-2024,35800,36300,33400,33450,29292700
CTG,12-04-2024,33800,36050,33650,35900,23775200
CTG,11-04-2024,33300,33700,33250,33700,4179700
CTG,10-04-2024,34350,34350,33650,33650,4301500
CTG,09-04-2024,33900,34250,33550,34250,5238500
CTG,08-04-2024,33300,34250,32950,33500,12007900
CTG,05-04-2024,33200,33600,33100,33200,9834200
CTG,04-04-2024,34200,34300,33500,33550,7104500
CTG,03-04-2024,34900,35000,33900,34050,9109200
CTG,02-04-2024,34500,35200,34100,35000,6979000
CTG,01-04-2024,35400,35400,34750,35000,7918200
CTG,29-03-2024,35750,35750,35150,35550,4490100
CTG,28-03-2024,35900,35900,35300,35750,7031500
CTG,27-03-2024,35000,35500,34800,35500,5064200
CTG,26-03-2024,34750,35400,34650,35200,3801300
CTG,25-03-2024,35500,35700,34500,34700,9577000
CTG,22-03-2024,35100,36400,35000,35700,15958000
CTG,21-03-2024,34600,34900,34050,34900,9087700
CTG,20-03-2024,33200,34500,33000,34350,9484900
CTG,19-03-2024,33400,33800,32950,33300,7149600
CTG,18-03-2024,34750,35000,32350,33300,11387200
CTG,15-03-2024,34400,35400,33950,34750,9586500
CTG,14-03-2024,35200,35200,34200,34450,7010100
CTG,13-03-2024,34600,35150,34200,35150,6130500
CTG,12-03-2024,34000,34600,33950,34500,6760600
CTG,11-03-2024,34500,34750,33900,34150,7842600
CTG,08-03-2024,35800,35850,34500,34500,20828300
CTG,07-03-2024,36000,36050,35450,35800,8882900
CTG,06-03-2024,36400,36950,35650,36100,11114900
CTG,05-03-2024,36000,36450,35750,36450,7378300
CTG,04-03-2024,35600,36900,35150,36000,17569600
CTG,01-03-2024,35700,35700,35000,35600,9179700
CTG,29-02-2024,36200,36300,35200,35550,12798100
CTG,28-02-2024,36400,36450,35650,35950,9809600
CTG,27-02-2024,35700,36300,35450,36150,9066000
CTG,26-02-2024,35200,35850,35100,35650,6391800
CTG,23-02-2024,35800,37150,35000,35200,25763100
CTG,22-02-2024,35700,35750,35250,35700,7056000
CTG,21-02-2024,35250,36200,35050,35550,10391600
CTG,20-02-2024,35300,35600,34700,35200,6832100
CTG,19-02-2024,35100,35500,34500,35400,10677500
CTG,16-02-2024,35300,35300,34650,35250,7504900
CTG,15-02-2024,35600,35800,35000,35000,8849700
CTG,07-02-2024,34400,36300,34400,35500,13534000
CTG,06-02-2024,34000,34450,33850,34400,8645600
CTG,05-02-2024,31750,33900,31750,33900,21679700
CTG,02-02-2024,32000,32150,31550,31700,4536600
CTG,01-02-2024,31450,32100,31450,32050,5126100
CTG,31-01-2024,32450,32500,31300,31600,11925100
CTG,30-01-2024,32350,32450,32050,32200,3741900
CTG,29-01-2024,32100,32750,32000,32300,5875800
CTG,26-01-2024,32100,32250,31950,32100,3676400
CTG,25-01-2024,32000,32100,31600,32050,5164700
CTG,24-01-2024,31950,32400,31900,32000,4997700
CTG,23-01-2024,32650,32800,31900,32200,9136000
CTG,22-01-2024,32550,32650,31950,32650,8679800
CTG,19-01-2024,31700,32600,31450,32600,14108300
CTG,18-01-2024,31150,31600,30900,31500,8842000
CTG,17-01-2024,31050,31500,31000,31150,6739800
CTG,16-01-2024,31050,31400,30800,31400,7442400
CTG,15-01-2024,31550,31700,31000,31400,6951700
CTG,12-01-2024,30800,31850,30600,31500,17184500
CTG,11-01-2024,31100,31500,30400,31000,9746100
CTG,10-01-2024,30000,31150,29850,31000,13924900
CTG,09-01-2024,29600,30150,29300,30000,14351600
CTG,08-01-2024,29500,29800,29050,29550,12113500
CTG,05-01-2024,28750,29150,28700,29000,8765200
CTG,04-01-2024,27650,29500,27550,28600,14693100
CTG,03-01-2024,27200,27600,27050,27600,3123600
CTG,02-01-2024,27150,27250,27050,27200,3300000
CTG,29-12-2023,27200,27350,27100,27100,4655000
CTG,28-12-2023,26850,27100,26750,27100,2983700
CTG,27-12-2023,26800,26900,26750,26850,3008900
CTG,26-12-2023,26850,26950,26800,26800,3247900
CTG,25-12-2023,26550,26900,26500,26900,4083500
CTG,22-12-2023,26500,26600,26350,26450,2169200
CTG,21-12-2023,26400,26600,26250,26550,2581300
CTG,20-12-2023,26300,26600,26200,26550,2388300
CTG,19-12-2023,26100,26500,25950,26500,2308300
CTG,18-12-2023,26500,26700,26050,26050,3836500
CTG,15-12-2023,26500,26850,26350,26700,3969300
CTG,14-12-2023,26950,26950,26450,26750,3873600
CTG,13-12-2023,27150,27350,26700,26750,3629800
CTG,12-12-2023,26900,27000,26700,27000,3346200
CTG,11-12-2023,26950,27050,26700,26850,2203100
CTG,08-12-2023,27000,27100,26700,26900,3718900
CTG,07-12-2023,26750,27100,26550,26900,5656600
CTG,06-12-2023,26500,26700,26500,26650,3205700
CTG,05-12-2023,26600,26700,26500,26500,2549300
CTG,04-12-2023,26450,26600,26250,26550,7638100
CTG,01-12-2023,26450,26450,26000,26300,1962600
CTG,30-11-2023,26300,26700,26150,26300,2651700
CTG,29-11-2023,26221,26445,26132,26311,2629800
CTG,28-11-2023,26221,26221,25819,26221,2108800
CTG,27-11-2023,26534,26534,26042,26311,1511700
CTG,24-11-2023,26132,26490,25684,26490,3128400
CTG,23-11-2023,26624,26624,26132,26132,1993600
CTG,22-11-2023,26400,26579,26266,26490,2215000
CTG,21-11-2023,26713,26713,26311,26311,2217700
CTG,20-11-2023,26132,26624,26042,26445,2208700
CTG,17-11-2023,27027,27116,26355,26579,4361100
CTG,16-11-2023,26803,27116,26758,27071,2284100
CTG,15-11-2023,26937,27385,26937,27027,5453200
CTG,14-11-2023,26713,26937,26490,26669,3772500
CTG,13-11-2023,26221,26445,26132,26311,3249500
CTG,10-11-2023,26176,26311,25908,26311,3517700
CTG,09-11-2023,26266,26624,26132,26400,4986900
CTG,08-11-2023,25595,26176,25282,26176,2974800
CTG,07-11-2023,25416,25684,25326,25550,2595100
CTG,06-11-2023,25371,25684,25371,25550,2377400
CTG,03-11-2023,25416,25461,25058,25058,3639600
CTG,02-11-2023,24700,25505,24700,25282,2391900
CTG,01-11-2023,24879,24879,24431,24521,3296700
CTG,31-10-2023,24834,25058,24700,24789,2873300
CTG,30-10-2023,24745,25237,24745,24745,2108300
CTG,27-10-2023,25371,25461,24834,25237,2941000
CTG,26-10-2023,25371,25550,24655,25371,6054000
CTG,25-10-2023,26221,26400,25908,25953,1789000
CTG,24-10-2023,26221,26400,25998,26400,2597900
CTG,23-10-2023,26311,26311,25774,26221,1627400
CTG,20-10-2023,25461,26624,24968,26311,3797000
CTG,19-10-2023,25371,25595,25058,25595,1860200
CTG,18-10-2023,25595,25774,25103,25371,2295400
CTG,17-10-2023,25953,26087,25595,25595,1720400
CTG,16-10-2023,26176,26221,25774,25774,2075200
CTG,13-10-2023,26221,26490,25953,26221,1497500
CTG,12-10-2023,26579,26624,26266,26490,2497400
CTG,11-10-2023,26221,26400,25998,26400,2229400
CTG,10-10-2023,26266,26445,26132,26221,3140400
CTG,09-10-2023,25640,26132,25640,26087,1993300
CTG,06-10-2023,25505,25729,24924,25684,3154500
CTG,05-10-2023,25998,26087,25147,25147,5324500
CTG,04-10-2023,25684,26042,25595,25863,3077200
CTG,03-10-2023,26400,26400,25729,26042,7965100
CTG,02-10-2023,26937,27161,25013,26803,5334700
CTG,29-09-2023,27340,27787,26892,26892,5470700
CTG,28-09-2023,27474,27743,25819,27608,7874400
