Ticker,Date,Open,High,Low,Close,Volume
STB,28-02-2025,38250,38700,38250,38250,5601900
STB,27-02-2025,38550,38650,38100,38300,12864400
STB,26-02-2025,39250,39350,38550,38550,15149500
STB,25-02-2025,39500,39700,39250,39250,6148600
STB,24-02-2025,38850,39600,38700,39400,7261100
STB,21-02-2025,38750,38950,38300,38850,8170200
STB,20-02-2025,38900,39050,38550,38750,7041600
STB,19-02-2025,38650,39100,38500,38750,7478000
STB,18-02-2025,38300,39150,38150,38650,8042000
STB,17-02-2025,38250,38500,38100,38300,6088300
STB,14-02-2025,39300,39300,38250,38250,8007000
STB,13-02-2025,38500,38800,38400,38800,4741600
STB,12-02-2025,38500,38850,38300,38650,8553900
STB,11-02-2025,38400,38700,38150,38500,5513100
STB,10-02-2025,37400,38850,37200,38450,21128100
STB,07-02-2025,37350,38100,37200,37450,11948300
STB,06-02-2025,37500,37850,37300,37350,8268500
STB,05-02-2025,37450,37500,37000,37250,5279300
STB,04-02-2025,36700,37800,36650,37300,12650000
STB,03-02-2025,36800,36900,36300,36550,9000500
STB,24-01-2025,37300,37350,36900,37000,4818200
STB,23-01-2025,36650,37550,36450,37000,10155400
STB,22-01-2025,36200,36650,36150,36350,7602200
STB,21-01-2025,36450,36450,35900,36050,5396100
STB,20-01-2025,35850,36350,35750,35950,6359200
STB,17-01-2025,35400,35800,35150,35750,5715900
STB,16-01-2025,35400,35800,35050,35450,9548300
STB,15-01-2025,35400,35450,35100,35100,6977700
STB,14-01-2025,35300,35400,34900,35400,4412700
STB,13-01-2025,35000,35350,34700,35300,8382600
STB,10-01-2025,36400,36550,35200,35200,15560200
STB,09-01-2025,36800,36900,36400,36400,5593400
STB,08-01-2025,36700,36900,36500,36700,6074100
STB,07-01-2025,36450,37050,36350,36900,7377300
STB,06-01-2025,36100,36600,36050,36250,9584000
STB,03-01-2025,36950,36950,36100,36100,8642600
STB,02-01-2025,36950,37200,36600,37000,5957100
STB,31-12-2024,37550,37550,36900,36900,9388400
STB,30-12-2024,37350,37850,36800,37850,10631900
STB,27-12-2024,37200,37400,36900,37400,11145700
STB,26-12-2024,36450,37400,36350,37100,16442000
STB,25-12-2024,34800,36500,34750,36250,24376900
STB,24-12-2024,34550,34750,34350,34700,6484800
STB,23-12-2024,34150,35000,34100,34500,10898800
STB,20-12-2024,33750,33950,33500,33850,7578900
STB,19-12-2024,33800,34000,33550,33900,8676200
STB,18-12-2024,34100,34200,33850,34200,4850900
STB,17-12-2024,34100,34200,33850,34100,3703800
STB,16-12-2024,34000,34100,33850,34100,4502700
STB,13-12-2024,33800,34200,33550,34000,7644600
STB,12-12-2024,33650,34100,33650,33800,4826000
STB,11-12-2024,33800,33900,33500,33650,5182000
STB,10-12-2024,34050,34200,33500,33500,5671300
STB,09-12-2024,33700,34100,33600,34000,5819800
STB,06-12-2024,33900,33950,33600,33800,5016000
STB,05-12-2024,32350,34000,32250,33950,13198900
STB,04-12-2024,32550,32600,32150,32400,5780600
STB,03-12-2024,33150,33150,32600,32600,8715400
STB,02-12-2024,33400,33400,32850,33100,5222300
STB,29-11-2024,33050,33300,32800,33300,6626200
STB,28-11-2024,33200,33600,32950,33150,8503500
STB,27-11-2024,33100,33300,32800,33200,5196000
STB,26-11-2024,33000,33350,32950,33200,6126800
STB,25-11-2024,32700,33150,32650,32850,5082200
STB,22-11-2024,33000,33150,32600,32650,5610500
STB,21-11-2024,32400,33050,32250,33050,8026600
STB,20-11-2024,31700,32750,31300,32400,8575900
STB,19-11-2024,32600,32600,31750,31950,7271700
STB,18-11-2024,32550,32700,31900,32600,10149900
STB,15-11-2024,32400,32850,32200,32400,12216400
STB,14-11-2024,33550,33550,32500,32500,9004900
STB,13-11-2024,33500,33500,32400,33400,15006400
STB,12-11-2024,33800,33900,33250,33550,14613800
STB,11-11-2024,35400,35550,33400,33800,32893000
STB,08-11-2024,35850,36000,35000,35500,9413400
STB,07-11-2024,35600,35800,35400,35600,8231800
STB,06-11-2024,35000,35500,34800,35500,6934000
STB,05-11-2024,34850,35300,34850,34850,6852800
STB,04-11-2024,35000,35350,34650,34900,11339100
STB,01-11-2024,35000,35250,34950,35000,9112000
STB,31-10-2024,34800,35700,34600,35200,17764700
STB,30-10-2024,34200,35200,33950,34800,17096800
STB,29-10-2024,33850,34300,33800,34050,10111000
STB,28-10-2024,33300,34100,33300,33750,11423600
STB,25-10-2024,33650,34000,33300,33450,19673700
STB,24-10-2024,35800,35800,33400,33400,32157700
STB,23-10-2024,35100,35800,34650,35800,12097200
STB,22-10-2024,35250,35900,34900,35000,17680700
STB,21-10-2024,35650,36100,35250,35250,13537800
STB,18-10-2024,35100,36450,34700,35550,32868800
STB,17-10-2024,33700,34600,33250,34600,27209600
STB,16-10-2024,33650,33750,33150,33600,18409100
STB,15-10-2024,33950,34200,33600,33700,12425100
STB,14-10-2024,34100,34200,33600,33900,12932200
STB,11-10-2024,33650,33800,33400,33800,7702400
STB,10-10-2024,34500,34800,33600,33600,20748300
STB,09-10-2024,33700,34300,33600,34150,17686600
STB,08-10-2024,33850,34200,33550,33700,13909400
STB,07-10-2024,33400,34150,33350,33800,14756600
STB,04-10-2024,33700,33800,33100,33100,14347400
STB,03-10-2024,33550,34200,33550,33750,19074200
STB,02-10-2024,33500,33900,33400,33550,11383200
STB,01-10-2024,33400,34400,33400,33500,16258900
STB,30-09-2024,33550,33650,33200,33350,12432400
STB,27-09-2024,32900,33650,32800,33600,22047200
STB,26-09-2024,32800,33200,32600,32750,25838600
STB,25-09-2024,32000,32700,31850,32700,28614000
STB,24-09-2024,30850,32050,30800,31850,24839400
STB,23-09-2024,30900,31300,30800,30800,6037200
STB,20-09-2024,30700,31300,30600,30850,23258900
STB,19-09-2024,30350,30600,30300,30500,7185600
STB,18-09-2024,29850,30400,29800,30250,14764700
STB,17-09-2024,29650,29850,29450,29850,5758400
STB,16-09-2024,29800,29900,29550,29550,4878700
STB,13-09-2024,29700,29950,29550,29800,6158600
STB,12-09-2024,29650,29800,29550,29700,5852700
STB,11-09-2024,29150,29700,29100,29600,6358300
STB,10-09-2024,29700,29750,29150,29200,7772100
STB,09-09-2024,29650,29750,29500,29500,4193600
STB,06-09-2024,29550,29900,29500,29900,8550100
STB,05-09-2024,30100,30150,29400,29600,10434300
STB,04-09-2024,30400,30400,29950,30100,9433600
STB,30-08-2024,30550,30650,30350,30550,5079700
STB,29-08-2024,29650,30900,29650,30450,25193800
STB,28-08-2024,29700,29850,29550,29550,4655800
STB,27-08-2024,29750,29850,29600,29600,4245000
STB,26-08-2024,30050,30200,29750,29750,7701300
STB,23-08-2024,29900,30000,29700,29950,5876500
STB,22-08-2024,30000,30050,29800,29900,4940600
STB,21-08-2024,29650,29950,29400,29950,8881200
STB,20-08-2024,29650,29800,29500,29650,6413400
STB,19-08-2024,29500,29700,29350,29650,5992100
STB,16-08-2024,28950,29450,28950,29350,8293900
STB,15-08-2024,29200,29300,28750,28950,3730700
STB,14-08-2024,29250,29400,29200,29200,5866500
STB,13-08-2024,29200,29500,29150,29150,7059600
STB,12-08-2024,28850,29350,28600,29200,9701500
STB,09-08-2024,28650,28950,28200,28850,9925300
STB,08-08-2024,28050,28600,28000,28250,5944200
STB,07-08-2024,28400,28500,27950,28400,7957500
STB,06-08-2024,27550,28450,27300,28400,8945400
STB,05-08-2024,28200,28400,27000,27200,21028700
STB,02-08-2024,28000,28550,27950,28400,10783600
STB,01-08-2024,29000,29250,28050,28050,11998200
STB,31-07-2024,29000,29250,28850,29000,6032600
STB,30-07-2024,29050,29150,28800,28900,4458200
STB,29-07-2024,29200,29400,28800,29100,5947800
STB,26-07-2024,28800,29100,28750,29100,5366200
STB,25-07-2024,29150,29150,28600,28800,8570900
STB,24-07-2024,29000,29450,28600,29200,12412500
STB,23-07-2024,30100,30300,29000,29000,11984600
STB,22-07-2024,30300,30600,29900,30000,10809000
STB,19-07-2024,30550,30850,30150,30300,8140200
STB,18-07-2024,30400,30600,29950,30600,10719300
STB,17-07-2024,30100,31200,29950,30400,25058400
STB,16-07-2024,29750,30200,29750,29900,7816800
STB,15-07-2024,29800,29950,29600,29750,3659300
STB,12-07-2024,30000,30150,29700,29750,8716700
STB,11-07-2024,30000,30150,29850,29850,5412300
STB,10-07-2024,30350,30450,29850,29850,7896500
STB,09-07-2024,30150,30400,29950,30350,11044600
STB,08-07-2024,30000,30300,29750,30150,11712100
STB,05-07-2024,29900,30150,29600,30100,6500200
STB,04-07-2024,29900,29950,29600,29900,4385800
STB,03-07-2024,29550,30100,29550,29900,6484600
STB,02-07-2024,29350,29750,29250,29600,5431700
STB,01-07-2024,29000,29350,28800,29300,5212400
STB,28-06-2024,29050,29400,28800,28800,9182400
STB,27-06-2024,29300,29500,29100,29200,6435800
STB,26-06-2024,29400,29650,28950,29500,14572000
STB,25-06-2024,29700,29800,29250,29600,11199300
STB,24-06-2024,30650,30750,29400,29500,20293700
STB,21-06-2024,30700,31350,30450,30650,11453900
STB,20-06-2024,31100,31100,30000,30750,21298600
STB,19-06-2024,30600,31200,30450,30900,13605100
STB,18-06-2024,30550,31150,30550,30550,11579400
STB,17-06-2024,30400,30800,30250,30500,14506900
STB,14-06-2024,31650,31900,30550,30550,15865800
STB,13-06-2024,31500,31900,31250,31650,19842400
STB,12-06-2024,31250,31350,30900,31350,10808500
STB,11-06-2024,31200,31350,30700,31200,14064100
STB,10-06-2024,31200,31700,31050,31100,14942300
STB,07-06-2024,30700,31100,30700,30750,12983500
STB,06-06-2024,29950,31100,29650,30700,31379700
STB,05-06-2024,30000,30400,29600,29600,15295100
STB,04-06-2024,30500,30600,29850,29950,20232100
STB,03-06-2024,28100,29750,28100,29750,28580200
STB,31-05-2024,28050,28200,27800,27850,5567800
STB,30-05-2024,28000,28250,27600,27850,16001700
STB,29-05-2024,28900,28900,28250,28250,10808900
STB,28-05-2024,28800,29000,28600,28850,9012300
STB,27-05-2024,28800,28950,28350,28700,6564000
STB,24-05-2024,28450,29250,28300,28700,28342000
STB,23-05-2024,27900,28550,27700,28550,10710600
STB,22-05-2024,28300,28400,27950,28000,7853200
STB,21-05-2024,28300,28450,27850,28300,9961400
STB,20-05-2024,28750,28750,28200,28300,10164400
STB,17-05-2024,28500,28550,28300,28500,7138700
STB,16-05-2024,28100,28650,28100,28400,16790800
STB,15-05-2024,27350,27900,27300,27800,9801400
STB,14-05-2024,27300,27550,27200,27250,7428600
STB,13-05-2024,27700,27700,27200,27250,7861600
STB,10-05-2024,27900,28000,27600,27600,6903400
STB,09-05-2024,28000,28150,27800,27800,7552300
STB,08-05-2024,28300,28350,27850,27950,9179100
STB,07-05-2024,28150,28350,28100,28300,8560700
STB,06-05-2024,27950,28150,27650,28100,8810000
STB,03-05-2024,27800,28050,27500,27550,8851200
STB,02-05-2024,28350,28350,27500,27600,10054400
STB,26-04-2024,28250,28950,28100,28200,11932400
STB,25-04-2024,28600,28650,28200,28450,9380100
STB,24-04-2024,27900,28600,27800,28600,13991900
STB,23-04-2024,27550,28150,27550,27800,18401000
STB,22-04-2024,27400,28150,27100,27650,13422600
STB,19-04-2024,26400,28000,26150,26800,23052500
STB,17-04-2024,27600,27600,26800,26800,12961400
STB,16-04-2024,27650,27800,27200,27300,22651800
STB,15-04-2024,29000,29400,27500,27500,24337900
STB,12-04-2024,29100,29400,28900,29100,15445100
STB,11-04-2024,28900,29100,28750,28850,10462800
STB,10-04-2024,29300,29450,29100,29100,14930400
STB,09-04-2024,29000,29250,28700,29150,17950600
STB,08-04-2024,29300,29450,28950,29000,26854100
STB,05-04-2024,29500,29850,29150,29600,25456900
STB,04-04-2024,30100,30200,29650,29700,30271800
STB,03-04-2024,30500,30800,30100,30100,26957600
STB,02-04-2024,30500,30950,29600,30200,105089800
STB,01-04-2024,31500,31700,31050,31400,24131300
STB,29-03-2024,32250,32600,31600,31600,34573900
STB,28-03-2024,31200,32000,30800,32000,31997700
STB,27-03-2024,31000,31200,30650,30900,15085600
STB,26-03-2024,30800,31000,30750,31000,19270400
STB,25-03-2024,31600,31700,30800,30850,25048000
STB,22-03-2024,31650,32400,31550,31650,32805000
STB,21-03-2024,31250,31500,31100,31500,15677800
STB,20-03-2024,30400,31250,30150,31150,28145900
STB,19-03-2024,30300,30550,29900,30400,13159300
STB,18-03-2024,30500,30700,29700,30250,26184800
STB,15-03-2024,30450,30750,30200,30500,17494500
STB,14-03-2024,30900,30950,30400,30450,15812300
STB,13-03-2024,30300,30850,30150,30850,16436000
STB,12-03-2024,30100,30550,30100,30250,13195300
STB,11-03-2024,30600,30700,30100,30200,20137400
STB,08-03-2024,31350,31500,30600,30650,34885800
STB,07-03-2024,31550,31600,31150,31300,17422800
STB,06-03-2024,31800,32150,31350,31550,18418500
STB,05-03-2024,31750,31950,31550,31900,12352400
STB,04-03-2024,32100,32200,31650,31750,17157800
STB,01-03-2024,31750,32200,31700,31950,27190200
STB,29-02-2024,31600,31800,31100,31550,23713600
STB,28-02-2024,30850,31500,30750,31400,28484800
STB,27-02-2024,30600,30850,30350,30750,15451600
STB,26-02-2024,30650,30750,30150,30500,24763200
STB,23-02-2024,31150,31550,30650,30650,33551000
STB,22-02-2024,31400,31500,31000,31050,15526000
STB,21-02-2024,31000,32000,30850,31500,44463100
STB,20-02-2024,30700,31050,30550,30700,16158900
STB,19-02-2024,30950,30950,30450,30700,15780500
STB,16-02-2024,31300,31400,30750,30800,20794300
STB,15-02-2024,31200,31700,31000,31250,17188200
STB,07-02-2024,30750,31200,30750,31100,12202200
STB,06-02-2024,30800,31100,30700,30800,13437900
STB,05-02-2024,30000,30850,29850,30600,20315900
STB,02-02-2024,29950,30150,29750,29900,10080500
STB,01-02-2024,29900,30150,29700,29800,10674100
STB,31-01-2024,30750,30900,29800,29900,34436400
STB,30-01-2024,30350,30700,30300,30700,11432400
STB,29-01-2024,30300,30650,30300,30350,8935200
STB,26-01-2024,30700,30700,30200,30300,15139100
STB,25-01-2024,31000,31000,30300,30500,17446300
STB,24-01-2024,30450,31250,30400,30750,24678500
STB,23-01-2024,30350,30700,30250,30500,17926900
STB,22-01-2024,30500,30600,30150,30250,13400000
STB,19-01-2024,30000,30300,29950,30300,19382800
STB,18-01-2024,29750,30250,29650,29800,14262500
STB,17-01-2024,29900,30050,29700,29700,15239500
STB,16-01-2024,29750,29900,29600,29900,13163500
STB,15-01-2024,30100,30250,29700,29800,13057500
STB,12-01-2024,29300,30150,29100,29900,41145100
STB,11-01-2024,29700,29950,29200,29500,24449200
STB,10-01-2024,29100,29800,29100,29450,25102500
STB,09-01-2024,29200,29500,29100,29200,16760900
STB,08-01-2024,29600,29650,29000,29200,15853600
STB,05-01-2024,29000,29450,28850,29300,31291500
STB,04-01-2024,28600,29550,28500,28600,31414000
STB,03-01-2024,27750,28500,27600,28500,19990700
STB,02-01-2024,28000,28150,27750,27750,14813300
STB,29-12-2023,27650,28100,27600,27950,16014900
STB,28-12-2023,27450,27800,27350,27600,10407400
STB,27-12-2023,27500,27650,27350,27400,10685200
STB,26-12-2023,27600,27600,27150,27500,13847000
STB,25-12-2023,27250,27800,27250,27500,12751000
STB,22-12-2023,26600,27450,26300,27200,22251300
STB,21-12-2023,26750,26850,26500,26600,10018700
STB,20-12-2023,26700,26950,26450,26950,8217200
STB,19-12-2023,26300,26600,25850,26600,18259600
STB,18-12-2023,27100,27200,26300,26300,21729000
STB,15-12-2023,27100,27450,27050,27100,12858200
STB,14-12-2023,27700,27750,27100,27100,14265300
STB,13-12-2023,28000,28200,27450,27450,20639100
STB,12-12-2023,27950,28100,27800,28000,6953400
STB,11-12-2023,28300,28400,27850,27850,14345000
STB,08-12-2023,28700,28850,28200,28200,14678400
STB,07-12-2023,28300,28950,28050,28550,29262200
STB,06-12-2023,27700,28100,27700,28100,14176100
STB,05-12-2023,28150,28300,27800,27800,12589600
STB,04-12-2023,27600,28350,27550,28200,19614700
STB,01-12-2023,27500,27650,27050,27500,13635000
STB,30-11-2023,27800,28100,27500,27500,13608300
STB,29-11-2023,28050,28250,27800,27800,12029500
STB,28-11-2023,27500,28150,26850,28150,17252700
STB,27-11-2023,28200,28200,27400,27400,19828300
STB,24-11-2023,28400,28400,27500,28300,23863000
STB,23-11-2023,29150,29300,28200,28200,16575800
STB,22-11-2023,29300,29450,28750,29100,19080700
STB,21-11-2023,29550,29600,29100,29300,7021500
STB,20-11-2023,28700,29450,28700,29200,16240800
STB,17-11-2023,30250,30400,29050,29350,22164800
STB,16-11-2023,29900,30200,29750,30200,9783300
STB,15-11-2023,30600,30700,29800,30000,16567100
STB,14-11-2023,29600,30450,29500,30000,18566200
STB,13-11-2023,29500,29600,29000,29250,15892800
STB,10-11-2023,29400,30000,29250,29500,13739800
STB,09-11-2023,30050,30300,29650,29650,22227400
STB,08-11-2023,28900,30100,28750,30000,20906400
STB,07-11-2023,29150,29300,28900,29000,11144900
STB,06-11-2023,28650,29500,28600,29450,26745600
STB,03-11-2023,29200,29200,28400,28500,18856700
STB,02-11-2023,27950,29050,27900,29000,15521400
STB,01-11-2023,27500,27700,27100,27650,8556100
STB,31-10-2023,27100,27550,26550,27000,27998300
STB,30-10-2023,28750,28800,27000,27000,21271700
STB,27-10-2023,28550,29250,28150,28700,16878600
STB,26-10-2023,29000,29200,27700,28100,40837400
STB,25-10-2023,30000,30200,29550,29550,8074600
STB,24-10-2023,30000,30200,29750,30000,11951200
STB,23-10-2023,29800,30100,29400,29700,15702005
STB,20-10-2023,29000,30300,28850,30100,20503904
STB,19-10-2023,29500,29900,28950,29000,22421706
STB,18-10-2023,30100,30300,29350,29700,22147610
STB,17-10-2023,30450,30700,30000,30000,15770403
STB,16-10-2023,31400,31450,30200,30200,25870914
STB,13-10-2023,31200,31600,31000,31500,11308806
STB,12-10-2023,31950,31950,31300,31600,8190505
STB,11-10-2023,31250,31800,31150,31750,8374306
STB,10-10-2023,31350,31650,31250,31250,14138505
STB,09-10-2023,30950,31300,30600,31200,9255711
STB,06-10-2023,29850,30950,29650,30950,13136104
STB,05-10-2023,30100,30350,29850,29900,10308825
STB,04-10-2023,28900,30600,28850,30200,21204451
STB,03-10-2023,30650,30650,29050,29200,33420937
STB,02-10-2023,30750,31100,30600,30850,12415007
STB,29-09-2023,31000,31250,30650,30650,12280504
STB,28-09-2023,31700,31700,30450,30750,29418900
STB,27-09-2023,31500,31800,30550,31800,26094500
STB,26-09-2023,31950,32200,31350,31350,17076303
STB,25-09-2023,32800,33150,31400,31650,32245807
STB,22-09-2023,32000,33000,31350,32900,36016007
STB,21-09-2023,33200,33700,32350,32350,31049809
STB,20-09-2023,33300,33550,33200,33250,10589705
STB,19-09-2023,32700,33600,32650,33300,33669812
STB,18-09-2023,32300,33050,32300,32600,15196000
STB,15-09-2023,32300,33150,32100,32500,35096000
STB,14-09-2023,32000,32450,31800,31800,14940900
STB,13-09-2023,32500,32550,31850,31950,17037500
STB,12-09-2023,31800,32350,31350,32350,14737200
STB,11-09-2023,32700,32700,31550,31600,32699500
STB,08-09-2023,32800,32950,32500,32500,19307113
STB,07-09-2023,33000,33250,32650,33000,21545305
STB,06-09-2023,32600,33050,32150,33050,24004509
STB,05-09-2023,32700,33150,32400,32700,23384908
STB,31-08-2023,32500,32650,32350,32650,18726702
STB,30-08-2023,31800,32500,31800,32500,27367001
STB,29-08-2023,31800,31900,31350,31750,17862401
STB,28-08-2023,31150,31900,30950,31650,18709806
STB,25-08-2023,31300,31500,30950,31100,18936514
STB,24-08-2023,31100,31700,30900,31550,14088431
STB,23-08-2023,32100,32200,30750,30900,39433934
STB,22-08-2023,32000,32150,30500,32150,32940998
STB,21-08-2023,31600,32700,31300,31800,36013985
STB,18-08-2023,32100,32450,30300,31300,45170616
STB,17-08-2023,32600,32800,32250,32350,14884201
STB,16-08-2023,31500,32900,31200,32900,45033638
STB,15-08-2023,31900,32000,31450,31500,19408823
STB,14-08-2023,31900,32000,31500,31900,16893114
STB,11-08-2023,30750,32100,30550,31850,35658912
STB,10-08-2023,31150,31300,30550,30550,13398691
STB,09-08-2023,29850,31200,29650,31200,37886022
STB,08-08-2023,30350,30400,29750,29800,15598602
STB,07-08-2023,29050,30250,29050,30050,49704692
STB,04-08-2023,28600,28950,28500,28950,18096275
STB,03-08-2023,29150,29200,28600,28600,21402503
STB,02-08-2023,28900,29300,28800,29100,18419103
STB,01-08-2023,29100,29700,28900,28950,43648082
STB,31-07-2023,28900,29100,28500,28950,21200911
STB,28-07-2023,28100,28750,28100,28650,20958864
STB,27-07-2023,28300,28450,27900,28100,21195852
STB,26-07-2023,28500,28500,28200,28300,14699853
STB,25-07-2023,28600,29150,28400,28500,19697751
STB,24-07-2023,28750,28900,28450,28700,17378187
STB,21-07-2023,27950,28750,27800,28750,30065863
STB,20-07-2023,28250,28300,27600,27850,27303424
